Player.Name,season,season_copy,player_name_Cal,year,defence_def_rtg,offence,defensive_score,offensive_score,player_name,offensive_ranking,defensive_ranking
stanley-davis-1,2018-19,2018,stanley-davis-1_2018,19,1935.4,-187.2,2156.1816,-120.44675,stanley-davis-1_2018-19,6369,1084
greg-kuakumensah-1,2019-20,2019,greg-kuakumensah-1_2019,20,2073.7000000000003,-98.77,1903.2158,-120.653625,greg-kuakumensah-1_2019-20,6370,2435
vasja-pandza-1,2020-21,2020,vasja-pandza-1_2020,21,1634.0500000000002,-148.59,1562.7233,-120.69871,vasja-pandza-1_2020-21,6371,4466
vincent-eze-1,2018-19,2018,vincent-eze-1_2018,19,2055.4700000000003,-146.64,2135.0388,-120.75539,vincent-eze-1_2018-19,6372,1172
glen-mcclintock-1,2021-22,2021,glen-mcclintock-1_2021,22,1437.16,-236.06,1523.071,-120.79275,glen-mcclintock-1_2021-22,6373,4694
isaiah-burke-1,2021-22,2021,isaiah-burke-1_2021,22,818.65,26.25,1077.9238,-120.83189,isaiah-burke-1_2021-22,6374,7310
peyton-broughton-1,2018-19,2018,peyton-broughton-1_2018,19,1393,-24.96,1136.2146,-120.897995,peyton-broughton-1_2018-19,6375,7042
zac-watson-1,2019-20,2019,zac-watson-1_2019,20,1985.62,-85.76,2193.5637,-120.90279,zac-watson-1_2019-20,6376,934
terrance-banyard-1,2018-19,2018,terrance-banyard-1_2018,19,2144.32,-368.56,2197.4314,-120.90472,terrance-banyard-1_2018-19,6377,918
keon-edwards-1,2021-22,2021,keon-edwards-1_2021,22,1191.2,-0.81,1563.9436,-120.91612,keon-edwards-1_2021-22,6378,4455
